山东移动,#genre#
云南卫视,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000367/index.m3u8
贵州卫视,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000329/index.m3u8
新疆卫视,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000044/index.m3u8
青海卫视,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000366/index.m3u8
西藏卫视,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000045/index.m3u8
辽宁卫视,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000326/index.m3u8
吉林卫视,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000363/index.m3u8
兵团卫视,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000071/index.m3u8
农林卫视,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000072/index.m3u8
三沙卫视,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000078/index.m3u8
深圳卫视,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000308/index.m3u8
厦门卫视,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000075/index.m3u8
黑龙江卫视,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000306/index.m3u8
内蒙古卫视,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000040/index.m3u8

山东联通,#genre#
CCTV-01 综合,http://172.16.1.254:11111/rtp/239.253.254.77:8000
CCTV-02 财经,http://172.16.1.254:11111/rtp/239.253.254.232:8000
CCTV-03 综艺,http://172.16.1.254:11111/rtp/239.253.254.4:8000
CCTV-04 中文国际,http://172.16.1.254:11111/rtp/239.253.254.5:8000
CCTV-04 中文欧洲,http://172.16.1.254:11111/rtp/239.253.254.233:8000
CCTV-04 中文美洲,http://172.16.1.254:11111/rtp/239.253.254.235:8000
CCTV-05 体育,http://172.16.1.254:11111/rtp/239.253.254.6:8000
CCTV-5+ 体育赛事,http://172.16.1.254:11111/rtp/239.253.254.80:8000
CCTV-06 电影,http://172.16.1.254:11111/rtp/239.253.254.7:8000
CCTV-07 国防军事,http://172.16.1.254:11111/rtp/239.253.254.233:8000
CCTV-08 电视剧,http://172.16.1.254:11111/rtp/239.253.254.9:8000
CCTV-09 纪录,http://172.16.1.254:11111/rtp/239.253.254.79:8000
CCTV-10 科教,http://172.16.1.254:11111/rtp/239.253.254.11:8000
CCTV-11 戏曲,http://172.16.1.254:11111/rtp/239.253.254.12:8000
CCTV-12 社会与法,http://172.16.1.254:11111/rtp/239.253.254.235:8000
CCTV-13 新闻,http://172.16.1.254:11111/rtp/239.253.254.14:8000
CCTV-14 少儿,http://172.16.1.254:11111/rtp/239.253.254.236:8000
CCTV-15 音乐,http://172.16.1.254:11111/rtp/239.253.254.16:8000
CCTV-16 奥林匹克,http://172.16.1.254:11111/rtp/239.253.254.6:8000
CCTV-17 农业农村,http://172.16.1.254:11111/rtp/239.253.254.80:8000
山东卫视,http://172.16.1.254:11111/rtp/239.253.254.78:8000
